timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 15:11:54.436091,rome,Clouds,overcast clouds,86.7,45,1017,3,240,100
2026-06-06 15:11:55.579105,tokyo,Clouds,overcast clouds,60.94,92,1018,4.83,66,100
2026-06-06 15:11:56.737480,st. louis,Clouds,overcast clouds,86.61,63,1013,1.99,288,96
2026-06-06 15:11:57.916376,beijing,Clear,clear sky,58.37,72,1012,0.36,346,0
2026-06-06 15:11:59.076875,shanghai,Clouds,few clouds,71.19,78,1006,1.99,65,17
2026-06-06 15:12:00.233052,chicago,Clouds,scattered clouds,76.91,68,1010,7,53,48
2026-06-06 15:12:01.387862,seoul,Clouds,overcast clouds,69.08,44,1010,4.7,62,100
2026-06-06 15:12:02.540212,berlin,Rain,light rain,65.98,61,1015,5.14,150,100
2026-06-06 15:12:03.699917,mumbai,Clouds,overcast clouds,87.82,68,1006,7.54,297,100
2026-06-06 15:12:04.864675,kansas city,Clouds,overcast clouds,83.3,67,1011,8.01,140,100
2026-06-06 15:12:06.036993,detroit,Clear,clear sky,85.19,57,1009,13.15,290,8
2026-06-06 15:12:49.303810,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:14:49.324842,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:16:49.305171,paris,Clouds,overcast clouds,62.78,63,1016,5.01,0,85
2026-06-06 15:18:49.304426,paris,Clouds,overcast clouds,62.78,63,1016,5.01,0,85
2026-06-06 15:20:49.306917,paris,Clouds,overcast clouds,62.78,63,1016,5.01,0,85
2026-06-06 15:22:49.315468,paris,Clouds,overcast clouds,62.78,63,1016,5.01,0,85
2026-06-06 15:24:49.307368,paris,Clouds,overcast clouds,62.78,63,1016,5.01,0,85
2026-06-06 15:26:49.323271,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:28:49.316873,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:30:49.305564,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:32:15.456680,new york,Clouds,broken clouds,90.12,43,1007,13,267,51
2026-06-06 15:32:16.621844,los angeles,Clouds,overcast clouds,74.53,64,1011,8.3,186,100
2026-06-06 15:32:17.780777,san francisco,Clouds,overcast clouds,61.56,65,1011,14,283,97
2026-06-06 15:32:18.942143,boston,Clouds,overcast clouds,84.9,51,1006,5.01,229,100
2026-06-06 15:32:20.113789,toronto,Clouds,scattered clouds,76.1,61,1006,10,298,31
2026-06-06 15:32:21.278279,mexico city,Clouds,overcast clouds,75.81,39,1008,4.83,143,100
2026-06-06 15:32:22.436464,london,Rain,light rain,57.09,85,1010,13,298,100
2026-06-06 15:32:23.598006,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:32:24.748290,rome,Clouds,overcast clouds,85.75,47,1017,4,189,100
2026-06-06 15:32:25.904584,tokyo,Clouds,overcast clouds,61.5,92,1018,4.83,66,100
2026-06-06 15:32:27.082219,st. louis,Clouds,overcast clouds,86.65,63,1012,1.99,285,98
2026-06-06 15:32:28.244226,beijing,Clear,clear sky,58.37,72,1012,0.36,346,0
2026-06-06 15:32:29.413224,shanghai,Clouds,scattered clouds,71.01,78,1007,1.72,49,30
2026-06-06 15:32:30.575756,chicago,Clouds,scattered clouds,78.31,74,1011,1.01,33,48
2026-06-06 15:32:31.759863,seoul,Clouds,overcast clouds,68.68,45,1011,4.65,58,100
2026-06-06 15:32:32.917570,berlin,Clouds,overcast clouds,64.99,64,1016,5.5,152,100
2026-06-06 15:32:34.082505,mumbai,Clouds,overcast clouds,87.57,67,1006,5.95,293,100
2026-06-06 15:32:35.246249,kansas city,Clouds,overcast clouds,82.87,70,1011,8.01,140,100
2026-06-06 15:32:36.409731,detroit,Clear,clear sky,85.84,53,1009,1.99,261,8
2026-06-06 15:32:49.301735,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:34:49.344049,paris,Clouds,overcast clouds,62.69,63,1017,5.01,0,85
2026-06-06 15:36:49.364292,paris,Clouds,overcast clouds,62.62,63,1017,5.01,0,85
2026-06-06 15:38:49.338725,paris,Clouds,broken clouds,62.19,65,1018,5.01,0,65
2026-06-06 15:40:49.338892,paris,Clouds,broken clouds,62.19,65,1018,5.01,0,65
2026-06-06 15:42:49.344244,paris,Clouds,broken clouds,62.19,66,1018,5.01,0,65
2026-06-06 15:44:49.340943,paris,Clouds,broken clouds,62.19,66,1018,5.01,0,65
2026-06-06 15:46:49.339611,paris,Clouds,broken clouds,62.19,66,1018,5.01,0,65
2026-06-06 15:48:49.344299,paris,Clouds,broken clouds,62.19,66,1018,5.01,0,65
2026-06-06 15:50:49.345451,paris,Clouds,broken clouds,62.19,66,1018,5.01,0,65
2026-06-06 15:52:46.315321,new york,Clouds,scattered clouds,89.6,43,1007,15.01,245,42
2026-06-06 15:52:47.476097,los angeles,Clouds,overcast clouds,75.34,63,1010,9.01,195,91
2026-06-06 15:52:48.623413,san francisco,Clouds,overcast clouds,61.27,58,1011,11.99,278,97
2026-06-06 15:52:49.353902,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 15:52:49.750829,boston,Clouds,overcast clouds,84.76,52,1006,5.99,262,100
2026-06-06 15:52:50.891787,toronto,Clouds,few clouds,76.64,61,1007,11.01,273,23
2026-06-06 15:52:52.055725,mexico city,Rain,light rain,75.81,39,1008,4.83,143,100
2026-06-06 15:52:53.229889,london,Clouds,overcast clouds,56.98,84,1011,11.01,294,100
2026-06-06 15:52:54.399716,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 15:52:55.572431,rome,Clouds,overcast clouds,83.68,53,1016,4,207,100
2026-06-06 15:52:56.710288,tokyo,Clouds,overcast clouds,62.33,90,1018,5.06,51,100
2026-06-06 15:52:57.867012,st. louis,Clouds,overcast clouds,86.5,64,1012,1.99,281,98
2026-06-06 15:52:59.015896,beijing,Clear,clear sky,57.96,72,1013,0.87,3,0
2026-06-06 15:53:00.178459,shanghai,Clouds,scattered clouds,70.99,78,1007,1.72,49,30
2026-06-06 15:53:01.339657,chicago,Clouds,scattered clouds,79.23,72,1010,8.01,322,50
2026-06-06 15:53:02.514555,seoul,Clouds,overcast clouds,68.68,45,1011,4.65,58,100
2026-06-06 15:53:03.675673,berlin,Clouds,overcast clouds,62.24,77,1016,5.5,152,100
2026-06-06 15:53:04.839250,mumbai,Clouds,overcast clouds,87.57,67,1006,5.95,293,100
2026-06-06 15:53:06.002804,kansas city,Clouds,overcast clouds,81.48,72,1011,12.15,202,100
2026-06-06 15:53:07.166354,detroit,Clouds,few clouds,86.67,52,1009,1.01,181,11
2026-06-06 15:54:49.342197,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 15:56:49.344885,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
